PrefID,F1.mean,F1.low,F1.high,F2.mean,F2.low,F2.high,F1.log.mean,F1.log.sd,F2.log.mean,F2.log.sd,Disease,Pref
1,1.0665899053048913,0.8078909875562346,1.384158749369228,1.0628636497343391,0.8205471844920288,1.3446844353869636,0.05530322137949719,0.1351715345719129,0.05306149899544572,0.12585583004633943,AHC,5101
2,1.2054295171074167,0.8681325034131697,1.6242659315783707,0.45763840571220943,0.33447797180704003,0.6089891847791772,0.17390554000221803,0.16079952118208182,-0.7933504264127679,0.1527803089818627,AHC,5103
3,0.7972276496435691,0.5324816632199939,1.1361292770065745,1.3733692250487792,0.9223610746353429,1.99739306601375,-0.2455469173298509,0.19496301850526648,0.2982124621607326,0.19505202366663874,AHC,5104
4,1.007537487612157,0.8167582631549517,1.2394390849011705,0.7126518048647686,0.5696683575365187,0.8788360626689496,0.0018227685836345463,0.10651885440403759,-0.3447698922266474,0.1096616438196991,AHC,5105
5,1.2348416825080817,0.9003652902878494,1.632008595701165,0.8121831332630987,0.6088660617877798,1.058372742402524,0.19962261785591592,0.15081309106587207,-0.21804601116960406,0.1416850557107845,AHC,5106
6,0.8788330667707093,0.6850458240125218,1.088519421572119,1.022866386030176,0.7910672958742302,1.2739474987838386,-0.136043543147687,0.11767274544044051,0.015374548844729918,0.12067909768985653,AHC,5107
7,0.9720289082026408,0.7189984156869543,1.2852117184858656,1.1290274845609756,0.8101757310717655,1.5459632172537774,-0.039319525804142864,0.14800348985122275,0.10785280691602511,0.16410281030547194,AHC,5108
8,1.003386681380446,0.7542028073927955,1.2988890107615692,1.1003533145345892,0.8207487623258696,1.4426955897858782,-0.006164605118208424,0.13843036690109015,0.08551143959900877,0.14226645633771465,AHC,5109
9,1.2123661496867582,0.917717382490244,1.5634554433952381,0.9351101778747318,0.6849715639104489,1.2944634138476327,0.18328951197346086,0.1362722700071696,-0.08059027618571912,0.16317315332503532,AHC,5110
10,1.1361900870437238,0.8852403365118844,1.4378574025352024,1.2162253078763494,0.9430056136022084,1.5350275506169588,0.12005600291919324,0.12342450331609811,0.18816808091179116,0.12330762663051306,AHC,5111
11,1.0632251178393628,0.8432445475804183,1.3384996522337191,1.1023114547923654,0.853462865267745,1.4358378969665073,0.0545165627326142,0.11624778946722769,0.08871200832696509,0.13119861520006143,AHC,5113
12,1.0861050566793098,0.7784200719592578,1.4422079319587766,1.552188496814214,1.1142461149552931,2.0940809833224625,0.07063651122192037,0.15533050936698842,0.4266106905913119,0.1618028120466552,AHC,5114
13,1.4364221394855017,1.0950389810527468,1.8509596569681948,0.9874635463955113,0.7407534609107336,1.2713437876948774,0.3531574173513179,0.134100350397211,-0.02190317481975632,0.13656148985822597,AHC,5115
14,0.7495629495841243,0.5703767926874883,0.9826676044355904,1.1597244722647706,0.8353590198081888,1.5469381912017783,-0.2979207422762605,0.13849041720996458,0.1357211269488653,0.1582536679193965,AHC,5116
15,1.192992558770881,0.8754296520485504,1.5780530417468779,1.3068157537370109,0.9292557006393743,1.751665632554061,0.16521301096040042,0.15019263872222338,0.2551213731822874,0.1584809885641319,AHC,5117
16,0.5541855760764588,0.39935101995377903,0.7479739261021542,0.9045738658003576,0.6576439775599608,1.2309835225050634,-0.6029438102164772,0.15936962338236915,-0.11322007736937352,0.16039664534369738,AHC,5118
17,0.8844584968440842,0.6750744995070985,1.1289155343050528,0.47718149281901556,0.3493907215115726,0.6327826327088507,-0.13145711209259103,0.1318675476632028,-0.7512492505494298,0.15123875799079528,AHC,5119
18,1.6373402052728818,1.1771913979478417,2.2234298751237866,0.8524952558571179,0.611359815341175,1.145566382488279,0.48028112525515687,0.15997934700174532,-0.17208157682686792,0.15840035425981772,AHC,5120
19,1.0405649115111721,0.6540525304530763,1.4760566889259987,1.5054693798324938,1.060374348139213,2.064615319666083,0.018409279778625824,0.20882635415601494,0.39484433994944274,0.16898620923909496,AHC,5132
20,1.0530345645508272,0.7215935963722747,1.5225586964144422,0.9293558182070979,0.6744123433548415,1.2592522308884266,0.03371035461922497,0.1883843709270666,-0.0858183836251394,0.15821428509055463,AHC,5133
21,0.9037647061636775,0.6670508015729704,1.2146977477202325,1.1898817831752833,0.8833756293759021,1.5570712930193946,-0.11277960354344976,0.15183728330801854,0.1635785667476864,0.14357543172554837,AHC,5134
1,1.2611994884842843,1.0420285215271128,1.4986917047227837,1.1963878733499536,1.0141544485830511,1.402020305672019,0.22778495785224054,0.09265030372241301,0.1759201113104796,0.0822997738509052,Bacillary dysentery,5101
2,1.0363115140962151,0.8599263465626907,1.230249337805742,1.336731487320848,1.1020885709530401,1.6094327929938876,0.03153262161406827,0.09104695270963929,0.2856021314158523,0.09613143978440691,Bacillary dysentery,5103
3,0.9886022905481202,0.8753137554986706,1.10033856879881,1.0251638151157298,0.9173477401766501,1.145254957004179,-0.013114900104972243,0.05757566022713064,0.023265402965332763,0.05631048856674821,Bacillary dysentery,5104
4,1.1772840193319745,0.955692157739835,1.4301585675529886,1.0580382354550726,0.8392542433813442,1.3192842224284407,0.15789436107208593,0.10317701453474236,0.04983656086013484,0.11465774973064782,Bacillary dysentery,5105
5,1.0086917163066993,0.8129205294423456,1.2361930006035842,0.8820932930098014,0.6682510979715383,1.2000558439803566,0.003023996134280728,0.10613462547091185,-0.13777138363227914,0.15567649568595332,Bacillary dysentery,5106
6,1.083251267911089,0.9036753587677475,1.2918222116357703,1.034244499134263,0.8441151396682381,1.267700237764771,0.07576937013777793,0.09156639622251174,0.02828630241955178,0.10357005568276627,Bacillary dysentery,5107
