Sex,Age,Year,5101,5103,5104,5105,5106,5107,5108,5109,5110,5111,5113,5114,5115,5116,5117,5118,5119,5120,5132,5133,5134
Female,1,2015,94012,12001,5300,22927,13896,22169,11285,14696,14423,14663,28437,13428,26719,19544,28286,6828,16318,11392,5150,8942,48587
Female,1,2016,97376,11477,4977,21507,14054,22169,11184,13868,13855,14488,29047,13619,25174,20141,26047,7050,14955,10103,5215,9038,44671
Female,1,2017,111255,11388,5924,22702,15331,23706,10507,14653,13966,15226,22587,14442,25507,13726,26379,7662,15002,10472,4541,8808,44571
Female,1,2018,116230,11498,6314,23456,15820,24365,10352,14141,15208,15278,22662,15085,26246,14363,26123,8213,14417,10557,4537,8644,42560
Female,1,2019,98658,9731,5497,19483,13004,19985,10150,11581,12413,13289,23476,13101,22516,15337,21290,6854,12052,8587,4578,7369,35962
Female,1,2020,97849,8994,5283,17510,12203,19631,9889,11017,10987,12988,23397,12752,20890,16014,19717,6657,11477,7929,4570,6638,34421
Female,1,2021,78726,7416,4436,14068,10350,16380,9498,8659,9588,11045,24472,11423,17985,16682,16258,5667,9896,6458,4690,5109,29208
Female,1,2022,93683,7204,4623,15369,9813,15843,8134,7797,7923,11204,16804,10639,18107,10843,16137,5599,9803,6002,3729,5116,33238
Female,2,2000,56587,17239,8352,29604,20324,30302,22325,21496,25560,20486,41941,19762,34263,34483,39906,10496,30482,28292,7734,7838,41780
Female,2,2001,59522,14853,9469,27145,20819,29090,20214,18479,21587,18365,32527,16439,33072,29102,34836,9609,25836,25470,7911,7692,41614
Female,2,2002,48775,11902,7554,22833,15564,21764,14120,14203,18783,14978,28241,13305,25711,22407,31953,7578,21285,19297,6043,7182,36985
Female,2,2003,46553,13587,7349,26314,13767,19015,10685,14823,18278,12821,33356,11921,27213,23214,35435,7058,24041,18915,6023,8600,39209
Female,2,2004,42741,12970,6604,26099,13432,17338,10835,13340,18262,12439,30723,11428,26679,20859,33508,7246,20724,18598,5807,8281,36490
Female,2,2005,41136,13149,6195,27345,13111,16895,11025,12614,18281,12687,28841,11419,26240,19081,32713,7227,19303,20377,5620,8768,38922
Female,2,2006,44292,14720,6286,33082,12824,17658,11309,13031,20990,13548,27589,11487,28801,17878,36148,7593,19196,22685,5450,8639,41181
Female,2,2007,43278,15122,5734,35500,12870,17717,11789,12804,21820,13080,27028,11071,28322,17327,34234,8059,16331,24171,5318,7830,37563
Female,2,2008,44693,15533,5574,34017,14007,19240,11514,14024,22508,13788,29735,11796,29496,17133,35571,8422,17306,24847,5189,8211,39394
Female,2,2009,50693,15494,5672,29774,14462,21065,12006,15002,20292,14579,29747,12992,28171,17286,33907,7918,16355,24310,5111,8019,39150
Female,2,2010,51266,14737,5558,27560,14844,20201,12395,15198,19128,14701,29562,13591,28497,17396,32219,7113,16761,22515,5061,8115,38664
Female,2,2011,55308,13814,5149,24526,15302,19955,12824,14802,17994,14318,29676,12893,28760,17823,31961,6735,15635,18830,5061,7878,41462
Female,2,2012,50550,11990,4741,21781,15618,19719,13179,12717,17195,13347,29664,13845,26874,18136,26869,6780,15870,16563,5078,7137,34116
Female,2,2013,82338,13633,5097,24489,15938,23434,11140,15423,16449,14650,28333,13680,30038,18421,32302,6764,15941,13593,5180,8416,46116
Female,2,2014,95142,14050,5484,25856,16223,25061,11193,16160,16927,16076,28192,14919,30977,18608,33252,7250,16985,13623,5160,9350,49262
Female,2,2015,88192,12616,5015,24102,14212,22162,11181,14955,15446,14686,27961,13539,28866,19072,29768,6811,16051,12219,5134,8791,48944
Female,2,2016,93950,11990,5295,22906,13884,22151,11274,14688,14414,14647,28421,13416,26692,19530,28261,6822,16307,11384,5141,8917,48498
Female,2,2017,97317,11469,4973,21491,14044,22154,11175,13861,13847,14474,29034,13607,25151,20130,26029,7045,14947,10096,5207,9014,44606
Female,2,2018,111193,11383,5920,22689,15320,23692,10499,14648,13959,15213,22578,14431,25487,13720,26365,7657,14997,10466,4535,8785,44523
Female,2,2019,116170,11495,6310,23446,15810,24354,10345,14137,15202,15266,22655,15075,26228,14359,26115,8208,14414,10552,4532,8623,42529
Female,2,2020,98621,9727,5494,19473,12999,19978,10145,11576,12408,13279,23468,13095,22500,15332,21280,6849,12048,8583,4573,7355,35924
Female,2,2021,97809,8993,5280,17508,12198,19626,9884,11016,10984,12980,23394,12745,20881,16013,19716,6653,11477,7926,4566,6623,34421
Female,2,2022,78698,7415,4434,14067,10346,16378,9494,8658,9586,11039,24471,11418,17979,16682,16258,5663,9896,6456,4686,5098,29208
