Age,Sex,Pref,DiagnoseYear,Population
11,female,5101,2004,66797
11,female,5101,2005,59322
11,female,5101,2006,71218
11,female,5101,2007,62013
11,female,5101,2008,62092
11,female,5101,2009,63368
11,female,5101,2010,68014
11,female,5101,2011,55967
11,female,5101,2012,48398
11,female,5101,2013,48066
11,female,5101,2014,47939
11,female,5101,2015,47415
11,female,5101,2016,47175
11,female,5101,2017,47393
11,female,5101,2018,47810
12,female,5101,2000,63867
12,female,5101,2001,70152
12,female,5101,2002,63600
12,female,5101,2003,64182
12,female,5101,2004,58288
12,female,5101,2005,67598
12,female,5101,2006,60251
12,female,5101,2007,72193
12,female,5101,2008,62952
12,female,5101,2009,62919
12,female,5101,2010,64018
12,female,5101,2011,68452
12,female,5101,2012,56237
12,female,5101,2013,48551
12,female,5101,2014,48147
12,female,5101,2015,47988
12,female,5101,2016,47460
12,female,5101,2017,47219
12,female,5101,2018,47436
13,female,5101,2000,81546
13,female,5101,2001,64062
13,female,5101,2002,70655
13,female,5101,2003,64168
13,female,5101,2004,64842
13,female,5101,2005,59065
13,female,5101,2006,68486
13,female,5101,2007,61177
13,female,5101,2008,73069
13,female,5101,2009,63714
13,female,5101,2010,63509
13,female,5101,2011,64409
13,female,5101,2012,68684
13,female,5101,2013,56365
13,female,5101,2014,48617
13,female,5101,2015,48186
13,female,5101,2016,48022
13,female,5101,2017,47492
13,female,5101,2018,47248
14,female,5101,2000,74512
14,female,5101,2001,81735
14,female,5101,2002,64577
14,female,5101,2003,71233
14,female,5101,2004,64844
14,female,5101,2005,65639
14,female,5101,2006,59982
14,female,5101,2007,69440
14,female,5101,2008,62087
14,female,5101,2009,73859
14,female,5101,2010,64329
14,female,5101,2011,63918
14,female,5101,2012,64656
14,female,5101,2013,68821
14,female,5101,2014,56438
14,female,5101,2015,48662
14,female,5101,2016,48226
14,female,5101,2017,48061
14,female,5101,2018,47529
15,female,5101,2000,64781
15,female,5101,2001,74828
15,female,5101,2002,82530
15,female,5101,2003,65459
15,female,5101,2004,72235
15,female,5101,2005,65996
15,female,5101,2006,66923
15,female,5101,2007,61282
15,female,5101,2008,70631
15,female,5101,2009,63083
15,female,5101,2010,74594
